image_id,domain,split,image_path
2008-07-23 08_39_48,A (Summer),train,trainA/2008-07-23 08_39_48.jpg
2008-08-11 23_15_19,A (Summer),train,trainA/2008-08-11 23_15_19.jpg
2008-08-24 22_51_11,B (Winter),test,testB/2008-08-24 22_51_11.jpg
2008-09-08 18_23_56,A (Summer),train,trainA/2008-09-08 18_23_56.jpg
2008-10-13 16_16_50,B (Winter),test,testB/2008-10-13 16_16_50.jpg
2008-10-29 13_42_05,A (Summer),train,trainA/2008-10-29 13_42_05.jpg
2008-11-09 10_21_43,A (Summer),train,trainA/2008-11-09 10_21_43.jpg
2008-12-24 21_04_18,A (Summer),train,trainA/2008-12-24 21_04_18.jpg
2008-12-24 21_26_26,A (Summer),train,trainA/2008-12-24 21_26_26.jpg
2008-12-30 12_52_03,A (Summer),train,trainA/2008-12-30 12_52_03.jpg
2008-12-31 15_34_39,A (Summer),train,trainA/2008-12-31 15_34_39.jpg
2009-01-04 22_10_03,A (Summer),train,trainA/2009-01-04 22_10_03.jpg
2009-01-11 10_23_59,A (Summer),train,trainA/2009-01-11 10_23_59.jpg
2009-01-18 04_39_56,A (Summer),train,trainA/2009-01-18 04_39_56.jpg
2009-01-21 15_55_45,A (Summer),train,trainA/2009-01-21 15_55_45.jpg
2009-01-24 00_59_35,A (Summer),train,trainA/2009-01-24 00_59_35.jpg
2009-01-30 00_38_10,B (Winter),test,testB/2009-01-30 00_38_10.jpg
2009-02-01 08_37_11,B (Winter),test,testB/2009-02-01 08_37_11.jpg
2009-02-20 00_18_51,B (Winter),test,testB/2009-02-20 00_18_51.jpg
2009-02-20 16_02_22,A (Summer),train,trainA/2009-02-20 16_02_22.jpg
2009-02-22 00_35_30,B (Winter),test,testB/2009-02-22 00_35_30.jpg
2009-02-22 13_10_42,A (Summer),train,trainA/2009-02-22 13_10_42.jpg
2009-02-23 07_47_26,A (Summer),train,trainA/2009-02-23 07_47_26.jpg
2009-02-25 09_02_53,A (Summer),train,trainA/2009-02-25 09_02_53.jpg
2009-02-27 00_55_22,A (Summer),train,trainA/2009-02-27 00_55_22.jpg
2009-03-12 12_42_31,B (Winter),test,testB/2009-03-12 12_42_31.jpg
2009-03-19 16_59_51,B (Winter),test,testB/2009-03-19 16_59_51.jpg
2009-03-20 10_02_28,A (Summer),train,trainA/2009-03-20 10_02_28.jpg
2009-03-30 19_12_10,B (Winter),test,testB/2009-03-30 19_12_10.jpg
2009-03-31 09_21_06,A (Summer),train,trainA/2009-03-31 09_21_06.jpg
2009-03-31 19_29_30,B (Winter),test,testB/2009-03-31 19_29_30.jpg
2009-04-01 10_17_19,A (Summer),train,trainA/2009-04-01 10_17_19.jpg
2009-04-06 17_22_09,A (Summer),train,trainA/2009-04-06 17_22_09.jpg
2009-04-28 12_09_31,B (Winter),test,testB/2009-04-28 12_09_31.jpg
2009-05-01 07_24_33,A (Summer),train,trainA/2009-05-01 07_24_33.jpg
2009-05-12 13_53_37,A (Summer),train,trainA/2009-05-12 13_53_37.jpg
2009-05-13 15_01_35,A (Summer),train,trainA/2009-05-13 15_01_35.jpg
2009-05-17 13_15_25,A (Summer),train,trainA/2009-05-17 13_15_25.jpg
2009-05-28 09_22_54,A (Summer),train,trainA/2009-05-28 09_22_54.jpg
2009-06-06 20_59_54,A (Summer),train,trainA/2009-06-06 20_59_54.jpg
2009-06-20 06_32_25,A (Summer),train,trainA/2009-06-20 06_32_25.jpg
2009-06-24 02_06_39,A (Summer),train,trainA/2009-06-24 02_06_39.jpg
2009-07-01 18_07_28,A (Summer),train,trainA/2009-07-01 18_07_28.jpg
2009-07-11 22_56_02,A (Summer),train,trainA/2009-07-11 22_56_02.jpg
2009-07-17 15_37_15,A (Summer),train,trainA/2009-07-17 15_37_15.jpg
2009-10-15 11_28_18,A (Summer),train,trainA/2009-10-15 11_28_18.jpg
2009-11-04 14_28_46,A (Summer),train,trainA/2009-11-04 14_28_46.jpg
2009-11-15 17_03_20,B (Winter),test,testB/2009-11-15 17_03_20.jpg
2009-11-17 00_03_25,A (Summer),train,trainA/2009-11-17 00_03_25.jpg
2009-11-27 12_00_43,A (Summer),train,trainA/2009-11-27 12_00_43.jpg
2009-11-29 16_01_54,A (Summer),train,trainA/2009-11-29 16_01_54.jpg
2009-12-01 18_29_53,A (Summer),train,trainA/2009-12-01 18_29_53.jpg
2009-12-06 06_58_39,A (Summer),train,trainA/2009-12-06 06_58_39.jpg
2009-12-21 11_37_04,A (Summer),train,trainA/2009-12-21 11_37_04.jpg
2009-12-24 12_09_12,A (Summer),train,trainA/2009-12-24 12_09_12.jpg
2009-12-24 17_19_20,B (Winter),test,testB/2009-12-24 17_19_20.jpg
2009-12-26 19_11_59,A (Summer),train,trainA/2009-12-26 19_11_59.jpg
2009-12-28 08_41_51,B (Winter),test,testB/2009-12-28 08_41_51.jpg
2009-12-29 13_08_17,A (Summer),train,trainA/2009-12-29 13_08_17.jpg
2010-01-01 22_07_47,A (Summer),train,trainA/2010-01-01 22_07_47.jpg
2010-01-02 22_47_38,A (Summer),train,trainA/2010-01-02 22_47_38.jpg
2010-01-06 09_41_43,A (Summer),train,trainA/2010-01-06 09_41_43.jpg
2010-01-10 21_32_38,A (Summer),train,trainA/2010-01-10 21_32_38.jpg
2010-01-13 21_43_54,A (Summer),train,trainA/2010-01-13 21_43_54.jpg
2010-01-15 22_26_56,A (Summer),train,trainA/2010-01-15 22_26_56.jpg
2010-01-16 09_45_20,B (Winter),test,testB/2010-01-16 09_45_20.jpg
2010-01-18 16_47_35,A (Summer),train,trainA/2010-01-18 16_47_35.jpg
2010-01-20 13_14_28,A (Summer),train,trainA/2010-01-20 13_14_28.jpg
2010-02-01 16_54_22,A (Summer),train,trainA/2010-02-01 16_54_22.jpg
2010-02-12 09_28_55,A (Summer),train,trainA/2010-02-12 09_28_55.jpg
2010-02-14 01_36_25,A (Summer),train,trainA/2010-02-14 01_36_25.jpg
2010-02-15 11_31_18,A (Summer),train,trainA/2010-02-15 11_31_18.jpg
2010-02-17 21_19_09,A (Summer),train,trainA/2010-02-17 21_19_09.jpg
2010-02-18 13_54_37,A (Summer),train,trainA/2010-02-18 13_54_37.jpg
2010-02-21 16_52_39,A (Summer),train,trainA/2010-02-21 16_52_39.jpg
2010-03-05 12_52_53,A (Summer),train,trainA/2010-03-05 12_52_53.jpg
2010-03-09 00_00_07,A (Summer),train,trainA/2010-03-09 00_00_07.jpg
2010-03-11 07_59_22,A (Summer),train,trainA/2010-03-11 07_59_22.jpg
2010-03-13 13_38_19,A (Summer),train,trainA/2010-03-13 13_38_19.jpg
2010-03-15 13_28_31,B (Winter),test,testB/2010-03-15 13_28_31.jpg
2010-03-23 08_05_53,A (Summer),train,trainA/2010-03-23 08_05_53.jpg
2010-03-23 14_38_50,B (Winter),test,testB/2010-03-23 14_38_50.jpg
2010-03-27 14_48_34,A (Summer),train,trainA/2010-03-27 14_48_34.jpg
2010-03-29 00_29_56,A (Summer),train,trainA/2010-03-29 00_29_56.jpg
2010-04-02 15_14_55,A (Summer),train,trainA/2010-04-02 15_14_55.jpg
2010-04-05 08_01_37,A (Summer),train,trainA/2010-04-05 08_01_37.jpg
2010-04-07 17_34_27,A (Summer),train,trainA/2010-04-07 17_34_27.jpg
2010-04-08 21_48_56,A (Summer),train,trainA/2010-04-08 21_48_56.jpg
2010-04-14 16_45_17,A (Summer),train,trainA/2010-04-14 16_45_17.jpg
2010-04-14 21_39_26,A (Summer),train,trainA/2010-04-14 21_39_26.jpg
2010-04-17 12_07_09,A (Summer),train,trainA/2010-04-17 12_07_09.jpg
2010-05-07 17_42_43,A (Summer),train,trainA/2010-05-07 17_42_43.jpg
2010-05-18 02_58_18,A (Summer),train,trainA/2010-05-18 02_58_18.jpg
2010-05-23 18_45_32,A (Summer),train,trainA/2010-05-23 18_45_32.jpg
2010-05-25 21_08_33,A (Summer),train,trainA/2010-05-25 21_08_33.jpg
2010-06-09 16_43_22,A (Summer),train,trainA/2010-06-09 16_43_22.jpg
2010-06-14 00_09_53,A (Summer),train,trainA/2010-06-14 00_09_53.jpg
2010-06-18 21_35_28,A (Summer),train,trainA/2010-06-18 21_35_28.jpg
2010-06-28 19_35_49,A (Summer),train,trainA/2010-06-28 19_35_49.jpg
2010-07-03 22_53_07,A (Summer),train,trainA/2010-07-03 22_53_07.jpg
2010-07-11 20_28_03,A (Summer),train,trainA/2010-07-11 20_28_03.jpg
2010-07-13 22_34_03,A (Summer),train,trainA/2010-07-13 22_34_03.jpg
2010-08-01 16_36_28,A (Summer),train,trainA/2010-08-01 16_36_28.jpg
2010-08-07 10_18_22,A (Summer),train,trainA/2010-08-07 10_18_22.jpg
2010-08-10 00_15_25,A (Summer),train,trainA/2010-08-10 00_15_25.jpg
2010-08-16 00_19_33,A (Summer),train,trainA/2010-08-16 00_19_33.jpg
2010-08-24 17_43_18,A (Summer),train,trainA/2010-08-24 17_43_18.jpg
2010-09-02 06_44_17,A (Summer),train,trainA/2010-09-02 06_44_17.jpg
2010-09-02 18_48_52,A (Summer),train,trainA/2010-09-02 18_48_52.jpg
2010-09-07 12_23_20,B (Winter),test,testB/2010-09-07 12_23_20.jpg
2010-09-07 13_26_25,A (Summer),train,trainA/2010-09-07 13_26_25.jpg
2010-09-09 11_41_45,A (Summer),train,trainA/2010-09-09 11_41_45.jpg
2010-09-11 03_15_45,A (Summer),train,trainA/2010-09-11 03_15_45.jpg
2010-09-14 19_50_46,A (Summer),train,trainA/2010-09-14 19_50_46.jpg
2010-09-17 14_59_04,A (Summer),train,trainA/2010-09-17 14_59_04.jpg
2010-09-17 20_48_41,B (Winter),test,testB/2010-09-17 20_48_41.jpg
2010-09-17 23_00_42,A (Summer),train,trainA/2010-09-17 23_00_42.jpg
2010-09-21 06_41_59,A (Summer),train,trainA/2010-09-21 06_41_59.jpg
2010-10-05 13_45_11,B (Winter),test,testB/2010-10-05 13_45_11.jpg
2010-10-05 19_08_31,B (Winter),test,testB/2010-10-05 19_08_31.jpg
2010-10-07 08_36_51,B (Winter),test,testB/2010-10-07 08_36_51.jpg
2010-10-09 15_56_24,A (Summer),train,trainA/2010-10-09 15_56_24.jpg
2010-10-13 16_17_38,A (Summer),train,trainA/2010-10-13 16_17_38.jpg
2010-10-13 23_08_10,B (Winter),test,testB/2010-10-13 23_08_10.jpg
2010-10-14 20_05_03,A (Summer),train,trainA/2010-10-14 20_05_03.jpg
2010-10-17 22_30_20,B (Winter),test,testB/2010-10-17 22_30_20.jpg
2010-10-24 23_06_14,A (Summer),train,trainA/2010-10-24 23_06_14.jpg
2010-10-29 09_58_13,A (Summer),train,trainA/2010-10-29 09_58_13.jpg
2010-11-01 15_58_51,B (Winter),test,testB/2010-11-01 15_58_51.jpg
2010-11-04 16_00_00,B (Winter),test,testB/2010-11-04 16_00_00.jpg
2010-11-06 09_26_09,A (Summer),train,trainA/2010-11-06 09_26_09.jpg
2010-11-08 17_33_13,A (Summer),train,trainA/2010-11-08 17_33_13.jpg
2010-11-22 22_46_13,A (Summer),train,trainA/2010-11-22 22_46_13.jpg
2010-11-24 10_00_38,A (Summer),train,trainA/2010-11-24 10_00_38.jpg
2010-12-01 09_32_23,A (Summer),train,trainA/2010-12-01 09_32_23.jpg
2010-12-02 10_52_29,A (Summer),train,trainA/2010-12-02 10_52_29.jpg
2010-12-04 12_09_12,A (Summer),train,trainA/2010-12-04 12_09_12.jpg
2010-12-04 12_20_06,A (Summer),train,trainA/2010-12-04 12_20_06.jpg
2010-12-05 23_59_01,B (Winter),test,testB/2010-12-05 23_59_01.jpg
2010-12-07 14_12_18,A (Summer),train,trainA/2010-12-07 14_12_18.jpg
2010-12-10 08_57_26,A (Summer),train,trainA/2010-12-10 08_57_26.jpg
2010-12-10 17_37_22,A (Summer),train,trainA/2010-12-10 17_37_22.jpg
2010-12-11 05_52_09,A (Summer),train,trainA/2010-12-11 05_52_09.jpg
2010-12-11 17_14_52,A (Summer),train,trainA/2010-12-11 17_14_52.jpg
2010-12-12 18_13_04,A (Summer),train,trainA/2010-12-12 18_13_04.jpg
2010-12-13 04_11_25,A (Summer),train,trainA/2010-12-13 04_11_25.jpg
2010-12-15 16_06_58,A (Summer),train,trainA/2010-12-15 16_06_58.jpg
2010-12-15 18_32_44,A (Summer),train,trainA/2010-12-15 18_32_44.jpg
2010-12-16 13_21_05,A (Summer),train,trainA/2010-12-16 13_21_05.jpg
2010-12-18 12_05_18,A (Summer),train,trainA/2010-12-18 12_05_18.jpg
2010-12-24 16_58_28,A (Summer),train,trainA/2010-12-24 16_58_28.jpg
2010-12-27 10_50_47,A (Summer),train,trainA/2010-12-27 10_50_47.jpg
2010-12-27 12_58_07,A (Summer),train,trainA/2010-12-27 12_58_07.jpg
2010-12-27 16_01_47,A (Summer),train,trainA/2010-12-27 16_01_47.jpg
2010-12-27 16_16_10,B (Winter),test,testB/2010-12-27 16_16_10.jpg
2010-12-27 16_17_44,A (Summer),train,trainA/2010-12-27 16_17_44.jpg
2010-12-29 23_09_11,B (Winter),test,testB/2010-12-29 23_09_11.jpg
2010-12-30 11_25_27,A (Summer),train,trainA/2010-12-30 11_25_27.jpg
2010-12-30 18_12_24,A (Summer),train,trainA/2010-12-30 18_12_24.jpg
2010-12-31 10_55_04,A (Summer),train,trainA/2010-12-31 10_55_04.jpg
2010-12-31 11_14_54,A (Summer),train,trainA/2010-12-31 11_14_54.jpg
2010-12-31 13_43_22,A (Summer),train,trainA/2010-12-31 13_43_22.jpg
2010-12-31 16_38_06,A (Summer),train,trainA/2010-12-31 16_38_06.jpg
2011-01-01 19_20_14,A (Summer),train,trainA/2011-01-01 19_20_14.jpg
2011-01-01 23_21_17,A (Summer),train,trainA/2011-01-01 23_21_17.jpg
2011-01-02 16_10_55,A (Summer),train,trainA/2011-01-02 16_10_55.jpg
2011-01-04 23_56_27,A (Summer),train,trainA/2011-01-04 23_56_27.jpg
2011-01-05 07_51_54,A (Summer),train,trainA/2011-01-05 07_51_54.jpg
2011-01-05 20_30_03,A (Summer),train,trainA/2011-01-05 20_30_03.jpg
2011-01-06 22_15_33,A (Summer),train,trainA/2011-01-06 22_15_33.jpg
2011-01-07 10_09_47,A (Summer),train,trainA/2011-01-07 10_09_47.jpg
2011-01-07 15_49_57,A (Summer),train,trainA/2011-01-07 15_49_57.jpg
2011-01-08 11_57_43,A (Summer),train,trainA/2011-01-08 11_57_43.jpg
2011-01-09 08_03_02,A (Summer),train,trainA/2011-01-09 08_03_02.jpg
2011-01-09 14_32_42,A (Summer),train,trainA/2011-01-09 14_32_42.jpg
2011-01-09 14_33_02,A (Summer),train,trainA/2011-01-09 14_33_02.jpg
2011-01-09 22_59_11,B (Winter),test,testB/2011-01-09 22_59_11.jpg
2011-01-11 19_21_46,A (Summer),train,trainA/2011-01-11 19_21_46.jpg
2011-01-11 20_06_09,A (Summer),train,trainA/2011-01-11 20_06_09.jpg
2011-01-13 04_56_19,A (Summer),train,trainA/2011-01-13 04_56_19.jpg
2011-01-14 20_01_19,A (Summer),train,trainA/2011-01-14 20_01_19.jpg
2011-01-15 21_45_08,A (Summer),train,trainA/2011-01-15 21_45_08.jpg
2011-01-16 08_13_52,A (Summer),train,trainA/2011-01-16 08_13_52.jpg
2011-01-16 08_46_31,B (Winter),test,testB/2011-01-16 08_46_31.jpg
2011-01-16 14_04_54,A (Summer),train,trainA/2011-01-16 14_04_54.jpg
2011-01-16 16_58_45,A (Summer),train,trainA/2011-01-16 16_58_45.jpg
2011-01-16 20_36_37,A (Summer),train,trainA/2011-01-16 20_36_37.jpg
2011-01-17 07_47_37,A (Summer),train,trainA/2011-01-17 07_47_37.jpg
2011-01-19 14_17_29,A (Summer),train,trainA/2011-01-19 14_17_29.jpg
2011-01-19 18_14_51,B (Winter),test,testB/2011-01-19 18_14_51.jpg
2011-01-21 23_22_40,B (Winter),test,testB/2011-01-21 23_22_40.jpg
2011-01-22 07_45_04,A (Summer),train,trainA/2011-01-22 07_45_04.jpg
2011-01-22 09_05_37,A (Summer),train,trainA/2011-01-22 09_05_37.jpg
2011-01-22 15_15_14,A (Summer),train,trainA/2011-01-22 15_15_14.jpg
2011-01-22 17_08_58,A (Summer),train,trainA/2011-01-22 17_08_58.jpg
2011-01-22 17_49_29,A (Summer),train,trainA/2011-01-22 17_49_29.jpg
2011-01-22 19_12_20,B (Winter),test,testB/2011-01-22 19_12_20.jpg
2011-01-22 20_09_12,A (Summer),train,trainA/2011-01-22 20_09_12.jpg
2011-01-23 00_06_43,A (Summer),train,trainA/2011-01-23 00_06_43.jpg
2011-01-23 09_42_42,A (Summer),train,trainA/2011-01-23 09_42_42.jpg
2011-01-26 22_41_29,A (Summer),train,trainA/2011-01-26 22_41_29.jpg
2011-01-30 04_10_12,A (Summer),train,trainA/2011-01-30 04_10_12.jpg
2011-01-30 17_20_36,A (Summer),train,trainA/2011-01-30 17_20_36.jpg
2011-01-31 15_52_53,A (Summer),train,trainA/2011-01-31 15_52_53.jpg
2011-01-31 22_44_38,A (Summer),train,trainA/2011-01-31 22_44_38.jpg
2011-02-01 19_09_14,A (Summer),train,trainA/2011-02-01 19_09_14.jpg
2011-02-06 23_49_34,A (Summer),train,trainA/2011-02-06 23_49_34.jpg
2011-02-15 11_00_01,B (Winter),test,testB/2011-02-15 11_00_01.jpg
2011-02-15 14_41_35,A (Summer),train,trainA/2011-02-15 14_41_35.jpg
2011-02-19 13_48_28,A (Summer),train,trainA/2011-02-19 13_48_28.jpg
2011-02-22 23_13_54,A (Summer),train,trainA/2011-02-22 23_13_54.jpg
2011-02-25 08_13_05,A (Summer),train,trainA/2011-02-25 08_13_05.jpg
2011-02-27 10_57_18,A (Summer),train,trainA/2011-02-27 10_57_18.jpg
2011-02-27 17_56_32,A (Summer),train,trainA/2011-02-27 17_56_32.jpg
2011-02-28 05_37_26,A (Summer),train,trainA/2011-02-28 05_37_26.jpg
2011-02-28 14_43_59,A (Summer),train,trainA/2011-02-28 14_43_59.jpg
2011-02-28 14_43_59,A (Summer),train,trainA/2011-02-28 14_43_59.jpg
2011-03-01 22_05_36,A (Summer),train,trainA/2011-03-01 22_05_36.jpg
2011-03-06 11_38_49,A (Summer),train,trainA/2011-03-06 11_38_49.jpg
2011-03-07 00_05_49,A (Summer),train,trainA/2011-03-07 00_05_49.jpg
2011-03-07 13_37_20,B (Winter),test,testB/2011-03-07 13_37_20.jpg
2011-03-10 14_37_59,A (Summer),train,trainA/2011-03-10 14_37_59.jpg
2011-03-11 15_53_06,A (Summer),train,trainA/2011-03-11 15_53_06.jpg
2011-03-12 23_16_01,B (Winter),test,testB/2011-03-12 23_16_01.jpg
2011-03-15 18_14_56,A (Summer),train,trainA/2011-03-15 18_14_56.jpg
2011-03-19 15_24_35,A (Summer),train,trainA/2011-03-19 15_24_35.jpg
2011-03-21 06_23_28,A (Summer),train,trainA/2011-03-21 06_23_28.jpg
2011-03-24 20_56_26,A (Summer),train,trainA/2011-03-24 20_56_26.jpg
2011-03-28 15_15_48,A (Summer),train,trainA/2011-03-28 15_15_48.jpg
2011-04-02 12_03_50,B (Winter),test,testB/2011-04-02 12_03_50.jpg
2011-04-02 13_06_12,A (Summer),train,trainA/2011-04-02 13_06_12.jpg
2011-04-03 09_56_56,A (Summer),train,trainA/2011-04-03 09_56_56.jpg
2011-04-08 17_38_52,A (Summer),train,trainA/2011-04-08 17_38_52.jpg
2011-04-09 12_52_15,A (Summer),train,trainA/2011-04-09 12_52_15.jpg
2011-04-09 15_40_45,A (Summer),train,trainA/2011-04-09 15_40_45.jpg
2011-04-09 16_34_42,A (Summer),train,trainA/2011-04-09 16_34_42.jpg
2011-04-11 12_59_33,A (Summer),train,trainA/2011-04-11 12_59_33.jpg
2011-04-23 11_40_15,A (Summer),train,trainA/2011-04-23 11_40_15.jpg
2011-04-26 20_44_32,A (Summer),train,trainA/2011-04-26 20_44_32.jpg
2011-05-04 08_59_56,A (Summer),train,trainA/2011-05-04 08_59_56.jpg
2011-05-08 14_31_34,A (Summer),train,trainA/2011-05-08 14_31_34.jpg
2011-05-11 00_08_49,A (Summer),train,trainA/2011-05-11 00_08_49.jpg
2011-05-11 09_59_17,A (Summer),train,trainA/2011-05-11 09_59_17.jpg
2011-05-15 10_58_57,A (Summer),train,trainA/2011-05-15 10_58_57.jpg
2011-05-15 18_05_22,A (Summer),train,trainA/2011-05-15 18_05_22.jpg
2011-05-16 07_20_13,A (Summer),train,trainA/2011-05-16 07_20_13.jpg
2011-05-17 01_22_15,A (Summer),train,trainA/2011-05-17 01_22_15.jpg
2011-05-17 09_22_49,A (Summer),train,trainA/2011-05-17 09_22_49.jpg
2011-05-17 14_54_00,B (Winter),test,testB/2011-05-17 14_54_00.jpg
2011-05-17 15_09_34,A (Summer),train,trainA/2011-05-17 15_09_34.jpg
2011-05-19 11_26_37,A (Summer),train,trainA/2011-05-19 11_26_37.jpg
2011-05-19 17_27_18,A (Summer),train,trainA/2011-05-19 17_27_18.jpg
2011-05-21 00_00_03,A (Summer),train,trainA/2011-05-21 00_00_03.jpg
2011-05-21 09_22_37,A (Summer),train,trainA/2011-05-21 09_22_37.jpg
2011-05-21 13_16_46,A (Summer),train,trainA/2011-05-21 13_16_46.jpg
2011-05-22 14_56_17,A (Summer),train,trainA/2011-05-22 14_56_17.jpg
2011-05-22 17_18_42,A (Summer),train,trainA/2011-05-22 17_18_42.jpg
2011-05-23 17_46_40,B (Winter),test,testB/2011-05-23 17_46_40.jpg
2011-05-24 19_18_16,A (Summer),train,trainA/2011-05-24 19_18_16.jpg
2011-05-26 15_06_01,B (Winter),test,testB/2011-05-26 15_06_01.jpg
2011-05-26 15_42_19,A (Summer),train,trainA/2011-05-26 15_42_19.jpg
2011-05-26 19_35_25,A (Summer),train,trainA/2011-05-26 19_35_25.jpg
2011-05-26 20_52_05,A (Summer),train,trainA/2011-05-26 20_52_05.jpg
2011-05-27 03_45_48,A (Summer),train,trainA/2011-05-27 03_45_48.jpg
2011-05-27 10_07_09,A (Summer),train,trainA/2011-05-27 10_07_09.jpg
2011-05-28 09_45_52,A (Summer),train,trainA/2011-05-28 09_45_52.jpg
2011-05-28 15_13_21,B (Winter),test,testB/2011-05-28 15_13_21.jpg
2011-05-28 17_21_32,A (Summer),train,trainA/2011-05-28 17_21_32.jpg
2011-05-29 10_20_21,B (Winter),test,testB/2011-05-29 10_20_21.jpg
2011-05-29 12_46_29,A (Summer),train,trainA/2011-05-29 12_46_29.jpg
2011-05-29 13_29_21,B (Winter),test,testB/2011-05-29 13_29_21.jpg
2011-05-30 16_53_54,A (Summer),train,trainA/2011-05-30 16_53_54.jpg
2011-05-30 18_05_07,A (Summer),train,trainA/2011-05-30 18_05_07.jpg
2011-05-30 20_18_25,A (Summer),train,trainA/2011-05-30 20_18_25.jpg
2011-05-30 23_45_11,B (Winter),test,testB/2011-05-30 23_45_11.jpg
